design,platform,critical_path_ns,core_util,place_density,clock_period,die_area,total_power_mw,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,0.9799915,50.0,0.68,1.0,304.991296,0.267," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_koggestone_wrapper,asap7,0.650959,60.0,0.68,1.0,285.136996,0.298," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_ripple_wrapper,asap7,1.1158534999999998,60.0,0.68,1.0,257.6025,0.257," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_sklansky_wrapper,asap7,0.6531371,50.0,0.68,1.0,322.058916,0.265," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_brentkung_wrapper,asap7,1.0064623,60.0,0.68,1.0,238.826116,0.256," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_koggestone_wrapper,asap7,0.6450933999999999,50.0,0.68,1.0,313.325401,0.28," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_ripple_wrapper,asap7,1.1338507,50.0,0.68,1.0,292.888996,0.252," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_sklansky_wrapper,asap7,0.6521264,50.0,0.68,1.0,293.951025,0.257," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_brentkung_wrapper,asap7,1.1045796,50.0,0.68,1.0,320.266816,0.283," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_koggestone_wrapper,asap7,0.6604169000000001,50.0,0.68,1.0,343.212676,0.288," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_booth4_ripple_wrapper,asap7,1.2390787,60.0,0.68,1.0,249.355681,0.252," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_sklansky_wrapper,asap7,0.6347267000000001,60.0,0.68,1.0,285.711409,0.293," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_sklansky_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_brentkung_wrapper,asap7,1.0214325,60.0,0.68,1.0,238.949764,0.243," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_koggestone_wrapper,asap7,0.6720553,50.0,0.68,1.0,305.585361,0.25," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_ripple_wrapper,asap7,1.1517883,50.0,0.68,1.0,280.395025,0.241," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_sklansky_wrapper,asap7,0.6589856,60.0,0.68,1.0,249.387264,0.262," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_sklansky_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_booth4_brentkung_wrapper,asap7,1.7047867,50.0,0.68,1.0,965.842084,0.752," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_koggestone_wrapper,asap7,0.8729383000000001,50.0,0.68,1.0,1031.501689,0.835," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_ripple_wrapper,asap7,2.1659821999999997,50.0,0.68,1.0,976.062564,0.682," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_sklansky_wrapper,asap7,0.8778182,50.0,0.68,1.0,995.718025,0.786," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_brentkung_wrapper,asap7,1.745687,50.0,0.68,1.0,909.082801,0.722," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_koggestone_wrapper,asap7,0.8810175,60.0,0.68,1.0,818.760996,0.802," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_ripple_wrapper,asap7,2.2039436,50.0,0.68,1.0,905.769216,0.656," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_sklansky_wrapper,asap7,0.8687401,50.0,0.68,1.0,936.666025,0.749," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_brentkung_wrapper,asap7,1.7913085000000002,50.0,0.68,1.0,991.494144,0.79," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_koggestone_wrapper,asap7,0.8905637000000001,60.0,0.68,1.0,897.661521,0.859," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_ripple_wrapper,asap7,2.2707979,60.0,0.68,1.0,740.275264,0.677," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_sklansky_wrapper,asap7,0.8919796999999999,60.0,0.68,1.0,862.361956,0.783," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_brentkung_wrapper,asap7,1.7507454,50.0,0.68,1.0,908.479881,0.715," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_koggestone_wrapper,asap7,0.9026431,50.0,0.68,1.0,969.948736,0.786," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_ripple_wrapper,asap7,2.2102646,60.0,0.68,1.0,757.790784,0.681," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_sklansky_wrapper,asap7,0.8611966999999999,50.0,0.68,1.0,939.054736,0.77," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_brentkung_wrapper,asap7,0.376515,50.0,0.68,1.0,50.566321,0.0433," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_koggestone_wrapper,asap7,0.3398541,50.0,0.68,1.0,54.789604,0.0487," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_koggestone_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_ripple_wrapper,asap7,0.3666637,50.0,0.68,1.0,48.692484,0.0447," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_booth4_sklansky_wrapper,asap7,0.3324187,50.0,0.68,1.0,52.823824,0.0454," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_brentkung_wrapper,asap7,0.3424164,50.0,0.68,1.0,41.422096,0.0434," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_brentkung_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_koggestone_wrapper,asap7,0.31627710000000003,60.0,0.68,1.0,38.6884,0.0446," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_normal_ripple_wrapper,asap7,0.3407655,50.0,0.68,1.0,41.254929,0.0424," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_ripple_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_sklansky_wrapper,asap7,0.3163317,50.0,0.68,1.0,42.094144,0.041," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_brentkung_wrapper,asap7,0.41113010000000005,60.0,0.68,1.0,45.468049,0.0476," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_koggestone_wrapper,asap7,0.3338333,60.0,0.68,1.0,49.1401,0.0507," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_ripple_wrapper,asap7,0.4062448,60.0,0.68,1.0,44.849809,0.0465," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_sklansky_wrapper,asap7,0.3065591,50.0,0.68,1.0,54.066609,0.0456," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_brentkung_wrapper,asap7,0.2913962,60.0,0.68,1.0,36.192256,0.0394," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_brentkung_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_koggestone_wrapper,asap7,0.2900793,60.0,0.68,1.0,38.539264,0.0446," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_koggestone_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_ripple_wrapper,asap7,0.32184480000000004,60.0,0.68,1.0,35.940025,0.042," ""CORE_UTILIZATION"": 60, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_c51f6982""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_ripple_wrapper/work/a3bdd812/result.json",mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_sklansky_wrapper,asap7,0.30568239999999997,50.0,0.68,1.0,41.886784,0.0431," ""CORE_UTILIZATION"": 50, ""PLACE_DENSITY"": 0.68, ""TAG"": ""mult_ppg_cpa_w4_32_asap7_highutil_75828b8c""},/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_sklansky_wrapper/work/c7de4936/result.json",mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
