design,platform,total_power_mw,core_util,place_density,clock_period,die_area,critical_path_ns,result_path,tag
mult16s_booth4_brentkung_wrapper,asap7,0.258,60.0,0.68,1.0,259.725456,0.9891209,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_koggestone_wrapper,asap7,0.289,50.0,0.68,1.0,335.146249,0.6558746999999999,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_ripple_wrapper,asap7,0.254,50.0,0.68,1.0,302.446881,1.11642,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_booth4_sklansky_wrapper,asap7,0.258,60.0,0.68,1.0,274.134249,0.6595488,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_brentkung_wrapper,asap7,0.226,50.0,0.68,1.0,280.160644,1.0118069,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16s_normal_koggestone_wrapper,asap7,0.274,60.0,0.68,1.0,266.766889,0.6474225,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_ripple_wrapper,asap7,0.216,60.0,0.68,1.0,249.545209,1.1383044,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_normal_sklansky_wrapper,asap7,0.253,60.0,0.68,1.0,250.430625,0.6573555,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_brentkung_wrapper,asap7,0.248,60.0,0.68,1.0,272.613121,1.109641,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_koggestone_wrapper,asap7,0.287,10.0,0.55,1.0,1517.492025,0.6690048000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult16u_booth4_ripple_wrapper,asap7,0.252,60.0,0.68,1.0,249.355681,1.2390787,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_booth4_sklansky_wrapper,asap7,0.265,50.0,0.68,1.0,335.842276,0.6436189000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_brentkung_wrapper,asap7,0.24,50.0,0.68,1.0,280.328049,1.0217383,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_koggestone_wrapper,asap7,0.25,50.0,0.68,1.0,305.585361,0.6720553,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult16u_normal_ripple_wrapper,asap7,0.228,60.0,0.68,1.0,239.0116,1.1542661,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16u_normal_sklansky_wrapper,asap7,0.254,50.0,0.68,1.0,292.683664,0.6716937000000001,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_brentkung_wrapper,asap7,0.752,50.0,0.68,1.0,965.842084,1.7047867,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_koggestone_wrapper,asap7,0.835,50.0,0.68,1.0,1031.501689,0.8729383000000001,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_ripple_wrapper,asap7,0.682,50.0,0.68,1.0,976.062564,2.1659821999999997,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_booth4_sklansky_wrapper,asap7,0.742,60.0,0.68,1.0,839.8404,0.8880742,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_brentkung_wrapper,asap7,0.7,60.0,0.68,1.0,767.179204,1.7484149,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_koggestone_wrapper,asap7,0.802,60.0,0.68,1.0,818.760996,0.8810175,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32s_normal_ripple_wrapper,asap7,0.656,50.0,0.68,1.0,905.769216,2.2039436,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32s_normal_sklansky_wrapper,asap7,0.748,60.0,0.68,1.0,790.284544,0.8811454,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_brentkung_wrapper,asap7,0.788,60.0,0.68,1.0,836.308561,1.8194466999999999,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_koggestone_wrapper,asap7,0.811,50.0,0.68,1.0,1064.651641,0.9140737,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_booth4_ripple_wrapper,asap7,0.677,60.0,0.68,1.0,740.275264,2.2707979,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_booth4_sklansky_wrapper,asap7,0.779,50.0,0.68,1.0,1022.592484,0.9050511,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_brentkung_wrapper,asap7,0.705,60.0,0.68,1.0,766.680721,1.7588419,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_koggestone_wrapper,asap7,0.786,50.0,0.68,1.0,969.948736,0.9026431,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult32u_normal_ripple_wrapper,asap7,0.681,60.0,0.68,1.0,757.790784,2.2102646,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult32u_normal_sklansky_wrapper,asap7,0.763,60.0,0.68,1.0,792.309904,0.8728448,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_brentkung_wrapper,asap7,0.0431,60.0,0.68,1.0,44.435556,0.38358909999999996,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_koggestone_wrapper,asap7,0.0481,60.0,0.68,1.0,48.038761,0.3426107,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_ripple_wrapper,asap7,0.0444,60.0,0.68,1.0,42.823936,0.3677852,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_booth4_sklansky_wrapper,asap7,0.0454,50.0,0.68,1.0,52.823824,0.3324187,/workspaces/RTLGen/runs/designs/multipliers/mult4s_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_brentkung_wrapper,asap7,0.0434,50.0,0.68,1.0,41.422096,0.3424164,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_brentkung_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_koggestone_wrapper,asap7,0.0446,60.0,0.68,1.0,38.6884,0.31627710000000003,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4s_normal_ripple_wrapper,asap7,0.0424,50.0,0.68,1.0,41.254929,0.3407655,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4s_normal_sklansky_wrapper,asap7,0.041,60.0,0.68,1.0,37.173409,0.3238331,/workspaces/RTLGen/runs/designs/multipliers/mult4s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_brentkung_wrapper,asap7,0.0476,60.0,0.68,1.0,45.468049,0.41113010000000005,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_booth4_koggestone_wrapper,asap7,0.05,50.0,0.68,1.0,56.070144,0.3369686,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_koggestone_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_ripple_wrapper,asap7,0.0464,50.0,0.68,1.0,51.051025,0.40694220000000003,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_booth4_sklansky_wrapper,asap7,0.0456,50.0,0.68,1.0,54.066609,0.3065591,/workspaces/RTLGen/runs/designs/multipliers/mult4u_booth4_sklansky_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_brentkung_wrapper,asap7,0.0394,60.0,0.68,1.0,36.192256,0.2913962,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult4u_normal_koggestone_wrapper,asap7,0.0413,10.0,0.55,1.0,151.511481,0.2855133,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult4u_normal_ripple_wrapper,asap7,0.039,50.0,0.68,1.0,40.653376,0.3220715,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_ripple_wrapper/work/c7de4936/result.json,mult_ppg_cpa_w4_32_asap7_highutil_75828b8c
mult4u_normal_sklansky_wrapper,asap7,0.043,10.0,0.55,1.0,144.0,0.3058708,/workspaces/RTLGen/runs/designs/multipliers/mult4u_normal_sklansky_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8s_booth4_brentkung_wrapper,asap7,0.105,60.0,0.68,1.0,99.380961,0.6241939999999999,/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8s_booth4_koggestone_wrapper,asap7,0.111,60.0,0.68,1.0,112.021056,0.4880528,/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8s_booth4_ripple_wrapper,asap7,0.0922,60.0,0.68,1.0,96.589584,0.6173989,/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8s_booth4_sklansky_wrapper,asap7,0.112,60.0,0.68,1.0,105.144516,0.4696494,/workspaces/RTLGen/runs/designs/multipliers/mult8s_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8s_normal_brentkung_wrapper,asap7,0.101,10.0,0.55,1.0,396.209025,0.6119029,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8s_normal_koggestone_wrapper,asap7,0.108,10.0,0.55,1.0,454.9689,0.4980385,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_koggestone_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8s_normal_ripple_wrapper,asap7,0.102,10.0,0.55,1.0,407.070976,0.6013685000000001,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_ripple_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8s_normal_sklansky_wrapper,asap7,0.0983,60.0,0.68,1.0,93.161104,0.4851742,/workspaces/RTLGen/runs/designs/multipliers/mult8s_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_brentkung_wrapper,asap7,0.106,60.0,0.68,1.0,103.205281,0.7251295,/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_brentkung_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_koggestone_wrapper,asap7,0.113,60.0,0.68,1.0,109.244304,0.5347693,/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_ripple_wrapper,asap7,0.102,60.0,0.68,1.0,98.267569,0.7013386,/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_ripple_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_booth4_sklansky_wrapper,asap7,0.108,60.0,0.68,1.0,108.430569,0.5199881000000001,/workspaces/RTLGen/runs/designs/multipliers/mult8u_booth4_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_normal_brentkung_wrapper,asap7,0.103,10.0,0.55,1.0,399.120484,0.6031467,/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_brentkung_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8u_normal_koggestone_wrapper,asap7,0.0992,60.0,0.68,1.0,94.906564,0.4968664,/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_koggestone_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult8u_normal_ripple_wrapper,asap7,0.115,10.0,0.55,1.0,417.425761,0.5932789,/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_ripple_wrapper/work/b727aa3a/result.json,mult_ppg_cpa_w4_32_asap7_3b70c61f
mult8u_normal_sklansky_wrapper,asap7,0.102,60.0,0.68,1.0,93.993025,0.4743977,/workspaces/RTLGen/runs/designs/multipliers/mult8u_normal_sklansky_wrapper/work/a3bdd812/result.json,mult_ppg_cpa_w4_32_asap7_highutil_c51f6982
mult16s_booth4_brentkung_wrapper,nangate45,0.0021,50.0,0.68,2.5,3662.6704,2.2724,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16s_booth4_koggestone_wrapper,nangate45,0.00321,60.0,0.68,2.5,3312.0025,0.1939,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_booth4_ripple_wrapper,nangate45,0.00191,50.0,0.68,2.5,3850.823025,2.4768,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16s_booth4_sklansky_wrapper,nangate45,0.00271,60.0,0.68,2.5,3146.649025,0.1986,/workspaces/RTLGen/runs/designs/multipliers/mult16s_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_normal_brentkung_wrapper,nangate45,0.0024,50.0,0.68,2.5,3785.9409,2.2587,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16s_normal_koggestone_wrapper,nangate45,0.00417,60.0,0.68,2.5,3519.455625,0.1954,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_normal_ripple_wrapper,nangate45,0.00214,60.0,0.68,2.5,3262.6944,2.5346,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16s_normal_sklansky_wrapper,nangate45,0.00313,60.0,0.68,2.5,3286.155625,0.2004,/workspaces/RTLGen/runs/designs/multipliers/mult16s_normal_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_booth4_brentkung_wrapper,nangate45,0.00243,60.0,0.68,2.5,3285.5824,2.4281,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_booth4_koggestone_wrapper,nangate45,0.00364,60.0,0.68,2.5,3487.493025,0.1941,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_booth4_ripple_wrapper,nangate45,0.00219,50.0,0.68,2.5,4171.222225,2.6148,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_ripple_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult16u_booth4_sklansky_wrapper,nangate45,0.00332,60.0,0.68,2.5,3372.1249,0.1943,/workspaces/RTLGen/runs/designs/multipliers/mult16u_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_brentkung_wrapper,nangate45,0.0024,60.0,0.68,2.5,3165.750225,2.3081,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_koggestone_wrapper,nangate45,0.00382,60.0,0.68,2.5,3495.765625,0.1943,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_ripple_wrapper,nangate45,0.00207,60.0,0.68,2.5,3229.6489,2.5513,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult16u_normal_sklansky_wrapper,nangate45,0.00331,50.0,0.68,2.5,3972.150625,0.1989,/workspaces/RTLGen/runs/designs/multipliers/mult16u_normal_sklansky_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32s_booth4_brentkung_wrapper,nangate45,0.0157,60.0,0.68,2.5,10418.2849,3.6196,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_booth4_koggestone_wrapper,nangate45,0.0263,60.0,0.68,2.5,10972.5625,0.2307,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_booth4_ripple_wrapper,nangate45,0.013,60.0,0.68,2.5,10801.4449,4.8042,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_booth4_sklansky_wrapper,nangate45,0.0198,60.0,0.68,2.5,10589.439025,0.2295,/workspaces/RTLGen/runs/designs/multipliers/mult32s_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_brentkung_wrapper,nangate45,0.0185,60.0,0.68,2.5,11401.9684,3.7249,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_koggestone_wrapper,nangate45,0.0321,60.0,0.68,2.5,12127.515625,0.2309,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_koggestone_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_ripple_wrapper,nangate45,0.0151,60.0,0.68,2.5,12078.01,4.9395,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32s_normal_sklansky_wrapper,nangate45,0.0238,50.0,0.68,2.5,13985.4276,0.2436,/workspaces/RTLGen/runs/designs/multipliers/mult32s_normal_sklansky_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_booth4_brentkung_wrapper,nangate45,0.0171,60.0,0.68,2.5,10909.8025,3.7335,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_brentkung_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_booth4_koggestone_wrapper,nangate45,0.0279,50.0,0.68,2.5,13680.811225,0.2428,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_koggestone_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_booth4_ripple_wrapper,nangate45,0.0139,60.0,0.68,2.5,10921.295025,4.8831,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_booth4_sklansky_wrapper,nangate45,0.0214,60.0,0.68,2.5,10974.6576,0.236,/workspaces/RTLGen/runs/designs/multipliers/mult32u_booth4_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_normal_brentkung_wrapper,nangate45,0.0187,50.0,0.68,2.5,13642.24,3.7109,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_brentkung_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_normal_koggestone_wrapper,nangate45,0.0301,50.0,0.68,2.5,14352.04,0.2425,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_koggestone_wrapper/work/39ca4667/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_87b48795
mult32u_normal_ripple_wrapper,nangate45,0.015,60.0,0.68,2.5,11767.9104,5.0025,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_ripple_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
mult32u_normal_sklansky_wrapper,nangate45,0.0246,60.0,0.68,2.5,11689.9344,0.2368,/workspaces/RTLGen/runs/designs/multipliers/mult32u_normal_sklansky_wrapper/work/84032167/result.json,mult_ppg_cpa_w4_32_nangate45_highutil_da64be35
